iter	Passed	Remaining
212	7601	28085
213	7637	28051
214	7671	28009
215	7707	27976
216	7742	27938
217	7776	27893
218	7811	27858
219	7843	27810
220	7876	27763
221	7910	27723
222	7946	27687
223	7978	27639
224	8011	27595
225	8046	27558
226	8084	27529
227	8118	27488
228	8153	27450
229	8187	27411
230	8221	27369
231	8263	27354
232	8297	27314
233	8330	27269
234	8366	27234
235	8399	27190
236	8432	27149
237	8466	27108
238	8503	27076
239	8538	27037
240	8571	26994
241	8606	26956
242	8641	26919
243	8674	26877
244	8710	26841
245	8746	26807
246	8782	26772
247	8819	26743
248	8851	26697
249	8887	26661
250	8921	26622
251	8954	26578
252	8987	26536
253	9021	26497
254	9061	26475
255	9097	26438
256	9130	26396
257	9163	26353
258	9197	26315
259	9236	26289
260	9268	26242
261	9301	26201
262	9336	26162
263	9369	26120
264	9402	26077
265	9436	26038
266	9469	25996
267	9500	25950
268	9534	25910
269	9580	25903
270	9616	25867
271	9652	25833
272	9687	25796
273	9720	25756
274	9754	25717
275	9788	25677
276	9826	25647
277	9859	25607
278	9895	25571
279	9930	25536
280	9965	25498
281	10000	25463
282	10032	25419
283	10067	25382
284	10105	25351
285	10135	25304
286	10168	25261
287	10204	25227
288	10239	25191
289	10272	25149
290	10307	25113
291	10340	25071
292	10373	25030
293	10454	25104
294	10508	25113
295	10539	25067
296	10573	25028
297	10607	24986
298	10641	24948
299	10676	24911
300	10711	24874
301	10747	24839
302	10782	24802
303	10824	24781
304	10863	24754
305	10905	24732
306	10939	24693
307	10974	24656
308	11008	24618
309	11042	24579
310	11077	24541
311	11112	24504
312	11146	24465
313	11184	24435
314	11220	24399
315	11258	24369
316	11296	24338
317	11331	24302
318	11365	24262
319	11400	24225
320	11434	24187
321	11469	24151
322	11505	24114
323	11542	24082
324	11579	24048
325	11613	24009
326	11647	23972
327	11681	23932
328	11714	23891
329	11749	23854
330	11784	23818
331	11819	23781
332	11853	23741
333	11888	23705
334	11920	23662
335	11953	23621
336	11988	23585
337	12020	23542
338	12053	23503
339	12089	23466
340	12122	23426
341	12155	23386
342	12190	23350
343	12222	23308
344	12254	23266
345	12287	23224
346	12321	23187
347	12354	23147
348	12388	23109
349	12423	23071
350	12459	23038
351	12493	22999
352	12526	22960
353	12560	22921
354	12594	22883
355	12629	22846
356	12661	22804
357	12694	22764
358	12727	22725
359	12760	22685
360	12792	22643
361	12826	22606
362	12860	22568
363	12895	22531
364	12927	22490
365	12960	22451
366	12995	22415
367	13028	22374
368	13061	22335
369	13094	22296
370	13127	22255
371	13163	22221
372	13196	22182
373	13228	22142
374	13265	22108
375	13301	22074
376	13333	22033
377	13366	21995
378	13403	21961
379	13437	21923
380	13470	21884
381	13503	21846
382	13536	21807
383	13569	21767
384	13603	21730
385	13637	21693
386	13675	21661
387	13709	21624
388	13744	21587
389	13776	21548
390	13840	21556
391	13893	21549
392	13927	21511
393	13963	21476
394	13997	21438
395	14030	21400
396	14064	21363
397	14097	21323
398	14140	21299
399	14178	21267
400	14220	21241
401	14256	21207
402	14290	21169
403	14324	21132
404	14360	21098
405	14394	21060
406	14428	21022
407	14466	20990
408	14499	20951
409	14533	20914
410	14569	20879
411	14604	20843
412	14640	20808
413	14674	20770
414	14712	20738
415	14746	20701
416	14782	20667
417	14819	20633
418	14856	20600
419	14890	20562
420	14924	20525
421	14960	20490
422	14993	20452
423	15027	20414
424	15060	20375
425	15093	20337
426	15129	20302
427	15163	20264
428	15198	20229
429	15234	20194
430	15269	20157
431	15304	20122
432	15339	20086
433	15373	20049
434	15408	20012
435	15443	19977
436	15478	19941
437	15512	19904
438	15548	19869
439	15584	19834
440	15616	19795
441	15652	19759
442	15685	19722
443	15720	19686
444	15762	19659
445	15801	19628
446	15834	19589
447	15868	19552
448	15901	19513
449	15936	19477
450	15969	19439
451	16003	19402
452	16038	19366
453	16073	19331
454	16109	19295
455	16144	19260
456	16178	19222
457	16212	19186
458	16247	19150
459	16282	19114
460	16315	19075
461	16353	19043
462	16390	19010
463	16426	18974
464	16460	18938
465	16493	18900
466	16527	18863
467	16560	18825
468	16595	18789
469	16628	18751
470	16663	18715
471	16698	18680
472	16732	18642
473	16766	18605
474	16800	18568
475	16836	18534
476	16872	18499
477	16906	18462
478	16941	18426
479	16977	18392
480	17014	18358
481	17047	18321
482	17082	18285
483	17115	18246
484	17148	18209
485	17184	18175
486	17217	18137
487	17253	18101
488	17288	18066
489	17322	18029
490	17382	18020
491	17457	18025
492	17490	17987
493	17525	17950
494	17570	17925
495	17603	17887
496	17641	17854
497	17675	17817
498	17711	17782
499	17747	17747
500	17784	17713
501	17818	17676
502	17853	17640
503	17888	17604
504	17922	17567
505	17960	17534
506	17995	17498
507	18026	17458
508	18068	17429
509	18102	17392
510	18143	17362
511	18185	17333
512	18229	17305
513	18272	17277
514	18315	17249
515	18357	17219
516	18399	17189
517	18443	17161
518	18484	17131
519	18531	17105
520	18564	17067
521	18598	17030
522	18633	16995
523	18668	16958
524	18702	16921
525	18735	16883
526	18769	16846
527	18804	16810
528	18841	16775
529	18877	16740
530	18910	16702
531	18945	16666
532	18980	16629
533	19015	16594
534	19053	16560
535	19086	16522
536	19119	16484
537	19152	16446
538	19186	16409
539	19221	16373
540	19254	16336
541	19288	16298
542	19321	16261
543	19356	16225
544	19388	16186
545	19423	16150
546	19460	16116
547	19493	16078
548	19529	16043
549	19562	16005
550	19595	15968
551	19627	15929
552	19663	15894
553	19697	15857
554	19732	15821
555	19766	15784
556	19802	15749
557	19840	15716
558	19874	15679
559	19908	15642
560	19942	15605
561	19977	15569
562	20011	15532
563	20046	15496
564	20079	15459
565	20114	15423
566	20150	15388
567	20183	15350
568	20217	15314
569	20253	15278
570	20286	15241
571	20320	15205
572	20353	15167
573	20388	15131
574	20422	15095
575	20457	15059
576	20490	15021
577	20524	14985
578	20560	14949
579	20597	14915
580	20633	14880
581	20674	14848
582	20716	14817
583	20749	14780
584	20782	14743
585	20815	14705
586	20852	14671
587	20888	14635
588	20919	14597
589	20955	14562
590	20987	14524
591	21067	14519
592	21124	14498
593	21155	14459
594	21188	14422
595	21223	14386
596	21259	14350
597	21292	14313
598	21327	14277
599	21360	14240
600	21396	14204
601	21429	14167
602	21464	14131
603	21497	14094
604	21531	14057
605	21565	14021
606	21600	13985
607	21633	13948
608	21666	13910
609	21701	13874
610	21734	13837
611	21768	13801
612	21802	13764
613	21834	13726
614	21872	13692
615	21918	13663
616	21963	13633
617	22007	13603
618	22042	13567
619	22076	13530
620	22110	13494
621	22154	13463
622	22197	13432
623	22242	13402
624	22283	13370
625	22316	13332
626	22350	13296
627	22385	13260
628	22419	13223
629	22455	13188
630	22500	13158
631	22545	13127
632	22585	13094
633	22628	13062
634	22663	13026
635	22697	12990
636	22734	12955
637	22768	12918
638	22801	12881
639	22835	12844
640	22869	12808
641	22913	12777
642	22963	12749
643	23015	12722
644	23052	12688
645	23087	12651
646	23120	12614
647	23153	12577
648	23186	12540
649	23220	12503
650	23255	12467
651	23289	12430
652	23326	12395
653	23363	12360
654	23407	12328
655	23452	12298
656	23497	12267
657	23534	12232
658	23568	12195
659	23602	12158
660	23643	12125
661	23675	12088
662	23709	12051
663	23743	12014
664	23777	11978
665	23811	11941
666	23846	11905
667	23880	11868
668	23913	11831
669	23946	11794
670	23999	11767
671	24047	11737
672	24086	11703
673	24129	11670
674	24163	11634
675	24197	11597
676	24231	11560
677	24263	11523
678	24297	11486
679	24332	11450
680	24364	11413
681	24396	11375
682	24430	11338
683	24463	11301
684	24496	11264
685	24530	11228
686	24564	11191
687	24598	11155
688	24639	11121
689	24682	11089
690	24721	11054
691	24818	11046
692	24870	11017
693	24905	10981
694	24939	10944
695	24978	10910
696	25009	10872
697	25046	10836
698	25079	10799
699	25113	10762
700	25149	10727
701	25183	10690
702	25217	10653
703	25251	10617
704	25286	10580
705	25318	10543
706	25351	10506
707	25391	10472
708	25430	10437
709	25473	10404
710	25512	10370
711	25547	10333
712	25582	10297
713	25626	10264
714	25660	10228
715	25698	10193
716	25730	10155
717	25763	10118
718	25798	10082
719	25832	10045
720	25865	10008
721	25897	9971
722	25931	9934
723	25970	9900
724	26003	9863
725	26037	9826
726	26072	9790
727	26107	9754
728	26140	9717
729	26178	9682
730	26217	9647
731	26263	9615
732	26303	9581
733	26342	9546
734	26375	9509
735	26409	9472
736	26449	9438
737	26496	9406
738	26538	9372
739	26577	9338
740	26612	9301
741	26646	9265
742	26678	9227
743	26711	9190
744	26744	9154
745	26786	9120
746	26829	9086
747	26869	9052
748	26903	9015
749	26938	8979
750	26971	8942
751	27005	8905
752	27040	8869
753	27074	8833
754	27105	8795
755	27138	8758
756	27171	8722
757	27205	8685
758	27239	8649
759	27277	8613
760	27310	8577
761	27343	8540
762	27376	8503
763	27407	8466
764	27441	8429
765	27474	8392
766	27507	8356
767	27541	8319
768	27576	8283
769	27608	8246
770	27641	8209
771	27674	8173
772	27708	8136
773	27742	8100
774	27775	8063
775	27809	8027
776	27843	7991
777	27878	7954
778	27913	7918
779	27949	7883
780	27981	7846
781	28016	7810
782	28048	7773
783	28082	7736
784	28116	7700
785	28150	7664
786	28183	7627
787	28217	7591
788	28251	7555
789	28287	7519
790	28321	7483
791	28354	7446
792	28463	7430
793	28500	7394
794	28532	7357
795	28564	7320
796	28598	7284
797	28631	7247
798	28664	7211
799	28698	7174
800	28731	7138
801	28765	7101
802	28800	7065
803	28833	7029
804	28865	6992
805	28902	6956
806	28935	6920
807	28972	6884
808	29006	6848
809	29039	6811
810	29074	6775
811	29109	6739
812	29142	6703
813	29175	6666
814	29209	6630
815	29242	6593
816	29277	6557
817	29311	6521
818	29345	6485
819	29380	6449
820	29415	6413
821	29449	6377
822	29483	6340
823	29516	6304
824	29548	6267
825	29580	6231
826	29613	6194
827	29648	6158
828	29686	6123
829	29719	6087
830	29751	6050
831	29785	6014
832	29819	5978
833	29853	5941
834	29886	5905
835	29922	5869
836	29955	5833
837	29987	5797
838	30019	5760
839	30054	5724
840	30089	5688
841	30123	5652
842	30155	5616
843	30189	5580
844	30221	5543
845	30256	5507
846	30288	5471
847	30321	5434
848	30354	5398
849	30387	5362
850	30421	5326
851	30456	5290
852	30491	5254
853	30524	5218
854	30572	5184
855	30606	5148
856	30640	5112
857	30676	5076
858	30708	5040
859	30741	5004
860	30775	4968
861	30808	4932
862	30841	4896
863	30879	4860
864	30914	4824
865	30948	4788
866	30981	4752
867	31016	4716
868	31049	4680
869	31082	4644
870	31115	4608
871	31149	4572
872	31181	4536
873	31215	4500
874	31248	4464
875	31285	4428
876	31319	4392
877	31352	4356
878	31385	4320
879	31422	4284
880	31455	4248
881	31490	4213
882	31523	4177
883	31556	4140
884	31591	4105
885	31623	4068
886	31658	4033
887	31762	4006
888	31797	3970
889	31831	3934
890	31870	3898
891	31901	3862
892	31937	3826
893	31972	3790
894	32007	3755
895	32041	3719
896	32076	3683
897	32110	3647
898	32145	3611
899	32178	3575
900	32213	3539
901	32247	3503
902	32280	3467
903	32314	3431
904	32347	3395
905	32381	3359
906	32415	3323
907	32448	3287
908	32485	3252
909	32518	3216
910	32553	3180
911	32586	3144
912	32619	3108
913	32653	3072
914	32689	3036
915	32723	3000
916	32756	2964
917	32789	2928
918	32822	2892
919	32857	2857
920	32892	2821
921	32925	2785
922	32960	2749
923	32994	2713
924	33029	2678
925	33063	2642
926	33097	2606
927	33132	2570
928	33166	2534
929	33198	2498
930	33232	2462
931	33266	2427
932	33302	2391
933	33336	2355
934	33369	2319
935	33403	2283
936	33437	2248
937	33471	2212
938	33505	2176
939	33538	2140
940	33573	2105
941	33606	2069
942	33640	2033
943	33676	1997
944	33710	1961
945	33744	1926
946	33776	1890
947	33809	1854
948	33844	1818
949	33878	1783
950	33911	1747
951	33947	1711
952	33980	1675
953	34015	1640
954	34049	1604
955	34083	1568
956	34117	1532
957	34150	1497
958	34183	1461
959	34219	1425
960	34253	1390
961	34289	1354
962	34321	1318
963	34355	1282
964	34386	1247
965	34420	1211
966	34451	1175
967	34487	1140
968	34521	1104
969	34554	1068
970	34588	1033
971	34626	997
972	34660	961
973	34694	926
974	34725	890
975	34759	854
976	34792	819
977	34832	783
978	34865	747
979	34901	712
980	34934	676
981	34970	641
982	35005	605
983	35042	569
984	35075	534
985	35108	498
986	35141	462
987	35175	427
988	35245	392
989	35297	356
990	35331	320
991	35366	285
992	35397	249
993	35429	213
994	35472	178
995	35509	142
996	35542	106
997	35575	71
998	35608	35
999	35644	0
